Date,w/TLREF,PPK,YearEnd,EXP(CBavg-TLREF),Market_Anomaly,NET
2024-10-18,3.320000,1.000000,0.000000,0.258424,0.000000,-0.320000
2024-10-25,2.980000,0.000000,0.000000,0.200240,0.000000,-0.690000
2024-11-01,3.180000,0.000000,0.000000,0.184638,0.000000,0.070000
2024-11-08,2.240000,0.000000,0.000000,0.072598,0.000000,0.180000
2024-11-15,2.820000,0.000000,0.000000,0.140255,0.000000,0.610000
2024-11-22,2.730000,1.000000,0.000000,0.157997,0.000000,0.470000
2024-11-29,2.560000,0.000000,0.000000,0.114699,0.000000,0.100000
2024-12-06,2.370000,0.000000,0.000000,0.113147,0.000000,-0.070000
2024-12-13,2.370000,0.000000,0.000000,0.094233,0.000000,-0.080000
2024-12-20,2.730000,0.000000,1.000000,0.162177,0.000000,-0.590000
2024-12-27,3.220000,1.000000,1.000000,0.195984,0.000000,-0.810000
2025-01-03,4.690000,0.000000,0.000000,0.245745,0.000000,0.700000
2025-01-10,4.250000,0.000000,0.000000,0.160892,0.000000,0.870000
2025-01-17,3.390000,0.000000,0.000000,0.136999,0.000000,0.910000
2025-01-24,3.550000,1.000000,0.000000,0.072785,0.000000,0.460000
2025-01-31,4.590000,0.000000,0.000000,0.237067,0.000000,0.290000
2025-02-07,3.400000,0.000000,0.000000,0.185676,0.000000,0.410000
2025-02-14,3.420000,0.000000,0.000000,0.174591,0.000000,-0.010000
2025-02-21,2.390000,0.000000,0.000000,0.172922,0.000000,-0.580000
2025-02-28,2.310000,0.000000,0.000000,0.143168,0.000000,-0.730000
2025-03-07,2.700000,1.000000,0.000000,0.153510,0.000000,-0.400000
2025-03-14,4.680000,0.000000,0.000000,0.356137,0.000000,0.910000
2025-03-21,2.870000,0.000000,0.000000,0.167410,0.000000,0.650000
2025-03-28,1.020000,0.000000,0.000000,0.134148,1.000000,2.060000
2025-04-04,1.010000,0.000000,0.000000,0.116076,1.000000,1.300000
2025-04-11,1.000000,0.000000,0.000000,0.172064,0.000000,-0.180000
2025-04-18,0.400000,1.000000,0.000000,0.188182,0.000000,-0.740000
2025-04-25,-0.990000,0.000000,0.000000,0.036083,0.000000,-1.220000
2025-05-02,-0.990000,0.000000,0.000000,0.083499,0.000000,-1.140000
2025-05-09,1.010000,0.000000,0.000000,0.101709,0.000000,0.220000
2025-05-16,2.010000,0.000000,0.000000,0.147823,0.000000,-0.490000
2025-05-23,2.950000,0.000000,0.000000,0.442784,0.000000,0.410000
2025-05-30,2.010000,0.000000,0.000000,0.193292,0.000000,-0.380000
2025-06-06,2.000000,0.000000,0.000000,0.234289,0.000000,0.490000
2025-06-13,2.590000,0.000000,0.000000,0.224120,0.000000,0.220000
2025-06-20,4.590000,1.000000,0.000000,1.700044,0.000000,0.400000
2025-06-27,4.040000,0.000000,0.000000,0.599192,0.000000,0.560000
2025-07-04,3.630000,0.000000,0.000000,1.351895,0.000000,0.110000
2025-07-11,3.010000,0.000000,0.000000,1.297052,0.000000,-0.380000
2025-07-18,3.400000,0.000000,0.000000,1.099218,0.000000,-0.650000
2025-07-25,3.920000,1.000000,0.000000,0.747821,0.000000,-0.300000
2025-08-01,6.340000,0.000000,0.000000,1.627445,0.000000,1.040000
2025-08-08,6.240000,0.000000,0.000000,1.084899,0.000000,2.430000
2025-08-15,6.340000,0.000000,0.000000,0.900850,0.000000,2.210000
2025-08-22,6.280000,0.000000,0.000000,0.865913,0.000000,2.040000
2025-08-29,6.310000,0.000000,0.000000,0.955190,0.000000,1.590000
2025-09-05,6.190000,0.000000,0.000000,0.562583,0.000000,1.460000
2025-09-12,6.720000,1.000000,0.000000,0.839323,0.000000,0.830000
2025-09-19,6.950000,0.000000,0.000000,2.802706,0.000000,0.970000
2025-09-26,6.780000,0.000000,0.000000,4.904742,0.000000,-0.070000
2025-10-03,6.770000,0.000000,0.000000,4.724470,0.000000,-0.490000
2025-10-10,6.710000,0.000000,0.000000,3.380133,0.000000,0.070000
2025-10-17,6.880000,0.000000,0.000000,5.095903,0.000000,0.220000
2025-10-24,6.980000,1.000000,0.000000,5.045756,0.000000,0.290000
2025-10-31,7.780000,0.000000,0.000000,2.837097,0.000000,0.620000
2025-11-07,6.740000,0.000000,0.000000,2.472819,0.000000,0.730000
2025-11-14,6.720000,0.000000,0.000000,2.123378,0.000000,0.140000
2025-11-21,6.680000,0.000000,0.000000,2.011876,0.000000,0.460000
2025-11-28,6.650000,0.000000,0.000000,2.035791,0.000000,0.770000
2025-12-05,6.620000,0.000000,0.000000,1.613854,0.000000,0.890000
2025-12-12,6.980000,1.000000,0.000000,1.700725,0.000000,0.450000
2025-12-19,7.270000,0.000000,1.000000,2.460414,0.000000,0.490000
2025-12-26,6.200000,0.000000,1.000000,1.977889,0.000000,-0.570000
2026-01-02,6.150000,0.000000,1.000000,2.996541,0.000000,0.070000
2026-01-09,4.650000,0.000000,0.000000,2.477595,0.000000,-1.980000
2026-01-16,4.810000,0.000000,0.000000,3.443004,0.000000,-0.370000
2026-01-23,5.040000,1.000000,0.000000,2.108754,0.000000,-0.370000
2026-01-30,4.270000,0.000000,0.000000,2.719569,0.000000,-1.340000
2026-02-06,4.070000,0.000000,0.000000,3.000745,0.000000,0.460000
2026-02-13,3.160000,0.000000,0.000000,3.475042,0.000000,-0.900000
2026-02-20,3.260000,0.000000,0.000000,3.380040,0.000000,-0.280000
2026-02-27,3.170000,0.000000,0.000000,2.180321,0.000000,-0.210000
2026-03-06,0.050000,0.000000,0.000000,0.109436,0.000000,-0.160000
2026-03-13,0.010000,1.000000,0.000000,0.144748,0.000000,-0.450000
2026-03-20,0.010000,0.000000,0.000000,0.188131,0.000000,0.380000
2026-03-27,0.000000,0.000000,0.000000,0.261468,0.000000,-1.130000
2026-04-03,0.000000,0.000000,0.000000,1.247372,0.000000,-0.220000
2026-04-10,0.010000,0.000000,0.000000,1.509548,0.000000,-0.220000
2026-04-17,0.080000,0.000000,0.000000,1.664618,0.000000,0.170000
2026-04-24,0.060000,1.000000,0.000000,1.306199,0.000000,-0.090000
2026-05-01,0.020000,0.000000,0.000000,1.503679,0.000000,-0.410000
2026-05-08,0.010000,0.000000,0.000000,1.191674,0.000000,-0.930000
2026-05-15,0.010000,0.000000,0.000000,1.408207,0.000000,1.540000
2026-05-22,0.010000,0.000000,0.000000,1.322782,0.000000,1.000000
2026-05-29,0.000000,0.000000,0.000000,1.108143,0.000000,0.280000
2026-06-05,0.010000,0.000000,0.000000,1.562896,0.000000,0.350000
2026-06-12,0.000000,1.000000,0.000000,1.558129,0.000000,0.070000
2026-06-19,0.010000,0.000000,0.000000,1.573788,0.000000,0.030000
2026-06-26,0.010000,0.000000,0.000000,,0.000000,